,comment,quality,difficulty
 SCAUA755,"I love Pamela. I took her class on Race and Inequity in the US Public Education System. It completely changed how I see education. It covers heavy, but necessary conversations related to politics, race, poverty and much more. There is a good amount of reading each week. Pamela is smart, passionate and really good at leading meaningful discussions.",5.0,3.0
 THEAUT747,Naila is one of the most inspirational and intellectual professors I've ever had. This class was super informative and interesting. She is passionate and really wants to hear your opinions during discussions. She's also open to learning from her students and is constantly asking for input from them.,5.0,3.0
 MEISUA798,Syrian Culture & Pol. She is so sweet and incredible with so many personal stories about her time in Syria and she's truly passionate and sweet and a wonderful person to be able to learn from. She's a very understanding grader. You only have two papers be warned! But every reading is incredibly interesting and I always did them. Please take it!,5.0,3.0
 CATUF301,"Amy is great. I took City as Text with her and she is smart and caring. The course is all about what you're interested in. She provides very broad prompts and then you can choose your topic and the medium of your final project (for example I made one collage, one creative paper and one poem for my three projects). She's super flexible and caring.",5.0,2.0
 WRI9101,"I really liked the structure of Amy's classes. We read, take notes and discuss; while writing, we read one another's essays and give in-class feedback. It was really exciting to write about given topics as a freshman. Not a tough grader although not easy either.",5.0,3.0
 WRIUF101030,"Absolute favorite professor. Eased students into a challenging but fun writing class by assigning engaging and relatable essays. (Seriously, we read about Monopoly.) Encouraged us to develop individual styles. No busywork. No phones in class. Assignments and prompts were extremely flexible. Fun, approachable, and very easy to reach. Take her class!",4.5,2.0
 WRIUF101053,"She's so sweet and funny and extremely helpful. I always look forward to class, and I feel like my writing has improved significantly. I would highly recommend her. ",4.0,2.0
 Enged-1600,"Professor Wolfsdorf is hands down one of the best professors that I have had at NYU! He really wanted us to be there for attendance, however, obviously if you could not make it and emailed him a few hours before he was totally chill about it. The point is that he just wanted you to be able to have open class discussions and be engaged with the work",5.0,2.0
 PSYCHUH2210,"Great Professor. As long as you look at the slides you will get a good grade. No pop quizzes, just a few reading quizzes which are really straight forward.",5.0,2.0
 ARTHUA311,"You can actually love Flemish and Dutch art by the end of the semester taking this course. You may learn more from textbooks offered and recommended in the course than from the professor, yet the professor is still lovely and very caring.",5.0,3.0
 WESTART2,"Prof Rice's lectures are engaging and very informative, but I would still recommend doing the reading because she will sometimes expect you to know information not covered in lecture. That being said, she is very straightforward about what information will be on the test, so if you memorize the information on the sheets, you should be fine!",4.0,3.0
 ARTHUA350,"Professor Rice is extremely passionate and knowledgeable about the material.  Although her teachings are based on the assigned readings, in lecture she makes many interesting points not found in the text.  Unfortunately, there are only three major assignments, so while it can be a fairly chill class, make sure  to put in the effort when needed.",4.5,3.0
 ITALBARQ,"Yes, she is a very demanding professor, but also extremely knowledgeable and if you put time and effort into her class you will get a lot out of it. She's not the type of teacher who wants to be your friend, which is probably why she's not well liked, but regardless of that she's a great Professor.",4.5,4.0
 EXPRIMAG,"Expressive Cultures: Images.  Mainly discussed Renaissance art  Great class, very interesting.  Every class, powerpoints displayed on a large screen with lots of clear explanations and views about each piece.  Grading was fair and the papers were fun.  Some required you to go to a museum, but you can always use the internet.",5.0,1.0
 JOURUA204,"Professor Seife is very knowledgeable in data investigative reporting. Took his class to learn about the research/database resources to aid in reporting practices. Class is lecture heavy but fairly interesting, very informative, assignments are more comprehensive and easy to finish.",4.0,3.0
 ANTROUA636,Took both of professor Oliphant's class via Zoom. Very knowledgeable in the subject and great syllabus structure/lecture to help learn and engage with challenging ideas. Great classroom to foster participation and gives great feedback to lead the class discussion.,4.0,3.0
 RELSTUA270,"Becker is obviously a very, very intelligent man. If you talk to him, you'll get a wealth of knowledge in return. If you don't talk to him, he'll still share the library inside his brain with you. However, his class was somewhat disorganized and played-by-ear, and while he gave very great feedback on writing assignments, he was a lenient grader.",4.0,2.0
 GLBLCHRIST101,"Professor O is by far one of the best professors I've ever had here at NYU. Her lectures are very interesting, and there are a quite a few short papers (easy if you pay attention in class, I recommend recording lectures)and her midterm/final is literally 100% the study guide she hands out in class. An excellent professor would 100% take again!",5.0,3.0
 POLUA311,"If you are a Psychology or Neural Science major, this class may not have much new information for you.  He is a great professor and is really caring.  If you are interested in genopolitics, he is your guy.  The class is not hard and the papers/discussions are somewhat of a joke. Finals are straight forward.",4.5,1.0
 ACA1,"Super sweet lady, totally take this class. Participation matters, she assigns light readings, only meets once a week, you are expected to post on discussion forums, complete unit reflections (500 words) and write 2 papers, one midterm (500-750 words) and one final (500-750 words). Super interactive teacher, be ready to go to the MET a few times!",4.0,2.0
 ACAUF1,"I love Professor Lumbley. She's very young, relatable, and insightful. She made me feel very comfortable in her class. I really enjoyed her class and I encourage others to take it too. There's an essay, a project, and a reflection at the end of each unit. There's required participation but we used online forums and Voice Threads.",5.0,3.0
 CHIN201,Best Chinese teacher at NYUSH!,4.0,4.0
 FMTV0033,Loved Joe!! He is great at giving constructive criticism that actually helps you to improve your scripts and he is just hilarious. He created a really close-knit class that i loved being in.,5.0,2.0
 WSS001,"Had Joe for Fund. and Writing SS. Liked him even better second time around. He will break your work down but in a kind, funny way. You don't walk away feeling like a bad writer when you show work, you walk away feeling like you have the tools to be a better writer. Plus, he's really hilarious and down to earth.",5.0,1.0
 WRISHSCPL,Writing Short Screenplay- He was amazing and very funny. He is realistic and down to earth. I got a lot out of the workshop style class. The class is amazing. Take it!,5.0,1.0
 SHORTSP,Best writing teacher I've had at Tisch. His critiques are great and he's not afraid to give you constructive criticism. He's provocative and funny. Just make sure you show up to class on time.,5.0,2.0
 FUND1,Wonderful teacher. I never considered myself a writer and now I find myself registering for prerequisites so I can continue with advanced writing classes. He is hilarious and very approachable. His class is a workshop and you get what you put in - which is how I wished all teachers taught. Truly amazing teacher!,5.0,2.0
 DV12,"Teaches you all the basics - which is everything you need to know for Dramatic and Visual Writing. Doesn't spend time giving you useless assignments or unnecessary lectures. If you pay attention and listen, you will learn. Very lenient professor with useful suggestions and hints. Treats class like a workshop - what you put in is what you get!",5.0,1.0
 INTRODV,"BY FAR the funniest teacher at NYU, classes go by in a breeze...have never been a good student and im the procrastinating type but my interest level in the class soared because of him.  He says attendance is mandatory, but I missed loads of classes and still managed an A-.  It's ALL about how enthusiastic youare abt your script, not how good it is",5.0,1.0
 INTRODVWRIT,"Joe is a really nice person, but sometimes he makes weird comments in class that are kind of offputting. Also, often times he makes suggestions and you adapt your idea to his and then he changes his mind again. That's annoying. But I like him and am taking him for a second semester.",4.0,2.0
 GAMESUT121,"Prof Pierre is definitely skilled in terms of programming, gives good grades if you put in efforts. However his lectures can be difficult to keep up, especially if youre a first time coder. He is very accessible outside of class, will always have time to answer your questions on discord.",5.0,3.0
 CAMSUA147,"His class and lectures were fun, for the first hour and half. Its a two hour and forty five minute class and after a while you drain out. I took the class online but I think in person the lectures wouldn't have felt so long. THE EXAMS ARE DIFFICULT!!! Multiple choice questions that make you question what the heck you studied for, felt like a trap!",4.0,4.0
 CAMS147,"He's really likable, and the class is overall enjoyable. Over the summer, though, it feels super rushed (not his fault, but it's a whole semester you just fly through) and the reading is too much because it's such a short class. Also the multiple choice on the tests are REALLY specific to the point that I don't know what the point of studying is",4.0,4.0
 MPATC35,Fantastic! She really cares about her students and is super passionate about music theory. She will always make the time to meet outside of class to go over assignments and teach you tricks that will help. One of a kind.,5.0,3.0
 MEISUA405,"Auntieji is amazing and I love her. She's a great professor. Very nice. Explains things well. She doesn't believe in tests, so she actually just cares that you learn.",5.0,2.0
 MEISGA1006,Dr. Badawi is so lovely and an excellent teacher!,5.0,2.0
 MEIS102,"Professor Badawi is very kind and understanding, consistently happy to help students improve. She is incredibly helpful when it comes to students not understanding the content, as she'll slow down lesson plans and spend extra time reviewing lessons whenever necessary to make sure everyone understands before moving to a new topic.",5.0,2.0
 MEISUA102,Love this Professor she does an amazing job at teaching the content and will not let you fall behind. She does have you do a lot of work before class to prepare you to do work in the class but its needed for the course. Overall I found all of this very helpful. She was amazing!!,5.0,4.0
 MATH2012,"This is my second class with Dr. Goodman, and I think his style is better suited for a class such as Monte Carlo where he has the freedom to pick the subjects from his own research. This lectures were excellent and opened my eyes to what one can do with MCMC and some of the theories. Would definitely recommend him and this class",4.0,3.0
 MATH2020,"Had Numerical Methods 2 with him. Good lecturer, definitely knew his stuff, but like anyone who's a good graduate student, you should be ready to do reading on your own beyond the lectures, and he's happy to give references, albeit some are out of print. Someone with a lot of experience in applications, so gave me a lot of help there as well",4.0,3.0
 SOIMSHU65,Her class is engaging. I would say she is the best professor I met this year. She is truly encouraging and supportive. The class content is well organized in a clear manner. Highly recommend.,5.0,2.0
 SOCSSHU160,"I have no idea why Prof. Ivan is getting panned here, I found him to be a respectful, funny, helpful, and engaging teacher. He really cares about his students and endeavors to make his classes fun and useful to possible career futures. He is a fair grader, and I encourage you to speak up at least a few times during class, but overall great!",5.0,4.0
 SOCSSHU275,Prof Ivan is extremely passionate about teaching. Makes a lot of jokes but most of them well related to the course. Provides wonderful notes. I have never taken any IR course before but he explained every basic concept with a perfect amount of repetition so that course materials are accessible. He deserves a better score on this platform. Great man,5.0,2.0
 SOCSSHU339,"Prof. Ivan is a very knowledgeable lecturer and a great listener. He never judges student's answers based on their relevance and accuracy. He is a tough but fair grader on essays. Make sure you discuss the prompts with him before writing. He likes to make cheesy (sometimes clever) yet moderately amusing political jokes, and I enjoy them sometimes.",5.0,4.0
 FMTVUT49,"First time Art & Practice class was taught, so curriculum was rusty but John is AWESOME. Brought in lots of videos, movie clips, photos, etc. to discuss/analyze. Created very open environment for debate while also mediating it. Not sure about other classes, but although we talked about Twyla Tharp textbook a bit, you can get away without it.",5.0,2.0
 FMTV0049,"Art and Practice is a weird class but interesting nonetheless. Prof Warren is a funny teacher but he will randomly call on you at times. In terms of the class as long as you are participating and attending class, you will pass the class.",5.0,1.0
 FMTVUT1221,He was personally invested in all of our scripts and helped create an open and supportive environment for feedback and creativity. He gave individual film suggestions pertaining to our scripts as well. He was always open for personal meetings and would constantly check in with you so you always wanted to make your script the best it could be. ,5.0,4.0
 JOUR302,Took a multimedia publication class with adrian-BEST PROFESSOR EVER. He is so dedicated that he will literally stay until 3 am to make sure that you finish that project that you procrastinated on and left until the last day to finish. He is a genius at multimedia and can teach you everything from the basics to complicated material. TAKE HIS CLASS,5.0,4.0
 HYPLOJOUR,"Adrian is the most dedicated professor. He always used to say, ""your projects are my projects"" and he truly lives by that rule. He will work late into the night  to make sure you can present your best. He is knowledgable about broadcast journalism and has worked to produce documentaries professionally. You will thank yourself for taking his class.",5.0,1.0
 JOURNBROA,He is the best professor! You can tell that he really cares about his students and wants you to succeed. He's always available after class and is dedicated to broadcast journalism.,5.0,4.0
 IDSEMUG1967,"A very bright professor with an innovative approach to Classics. Very difficult class, and yes, he cuts off students often. In my experience, it was always to speak to the greater point he was trying to make. Lots of interesting reading: on the first day of class he acknowledged there was no way to do it all. Always made a point to be accessible",4.0,4.0
 COREUA500001,"I had him for Cultures and Contexts. Best prof. I've had so far. I'm one of those students who skip class pretty often, but I've never missed a single one of his classes. Tests and papers are exactly what he said in lecture, so if you pay attention you'll be fine. Very engaging, good sense of humor, and makes the material very interesting.",5.0,3.0
 MULTUB100,"Jamie was overall great for Commerce and Culture. She encourages everyone to participate and is not at all intimidating during class. Her class involved lots of group work in breakout rooms which made it pretty chill. Sometimes she is a little unclear about essay expectations, but if you conference with her she will try and help you do your best!",4.0,4.0
 IEPT0,"Fantastic Professor. Had from for IEPT writing portion. difficult, more so than others, yet will help develop writing skills.",5.0,4.0
 SOIM6,"Bruce Meyerson is a Stern legend. Had to take him two semesters, and my writing skills have improved exponentially. He's also an amazing person, and he really wants to help you improve by answering to questions in person or via e-mail directly and quickly.",5.0,4.0
 BIP06,"Professor Meyerson actually makes sure that, by the end of his class, you actually know how to write well.  Because of this, he is one of my favorite teachers to date.  People who do not do well in the class usually do not utilizing the teacher more; Meyerson is always available to discuss your essay and how to improve it.",5.0,3.0
 CCOL1044,"Bryan Waterman was truly a one of a kind professor at NYU Abu Dhabi. He treats his students like human beings, cares about what they have to say, makes class enriching and relevant, goes above and beyond what any professor has to do, and makes his class a safe space without losing rigor or interest. We will miss him!!",5.0,4.0
 WNYSU10,"Great class! Tons of reading, but he didn't really expect us to read every word. Discussions are great. Writing NY is a wonderful class. We took a tour of the Lower East Sider and visited some art galleries. Music is a big part of his class, too. Very cool. Talk to him about anything!",5.0,2.0
 WNYWNY,"Took Writing New York and it was an awesome class!! I am premed so was intimidated by having to participate.  Waterman observed my section one day and was cool, but I felt like he judged a bit.  But his lectures were extremely well planned, and were very interesting.  Great class!",4.0,4.0
 PONY000,"Amazing professor. Young and fun. Likes to make class interesting, and its all about talking. One day took us out for food, instead of discussing the book.",5.0,4.0
 AMLIT0230,"Genuinely cares about his students.  Readings were dry and often difficult, but he can bring any piece of literature to life.  You will become a better reader and write after taking a class with him.",5.0,4.0
 AMERICANLITI,"Wonderful man. Great lectures. However, the class itself seemed to be lacking in the interesting department. Very good professor, very adorable and sexy. Boring class.",4.5,2.0
 NY,wonderful professor with great taste in music,5.0,2.0
 WRITINGNY,"One of the greatest, most entertaining professors I've ever had.",5.0,3.0
 AMERROM,Awesome,5.0,3.0
 FYSEMUA812,"Partridge is incredible! Lectures/discussions are genuinely interesting. Classes and assignments are really enjoyable, shes great at facilitating conversation. Workload's manageable especially bc the readings are interesting. You can tell how much time/attn/care she puts into curating the course and getting to know students. Highest recommendation.",5.0,3.0
 EXPOS059,WTE is a not-so-great class that he makes manageable and fun. 10/10 recommend taking his class over other WTE professors as he makes it doable and also assigns less work than other professors who teach WTE.,5.0,3.0
 EXPOSUA123,"He does not assign too much homework. He is a tough grader at first, but if you reach out to him, he readily gives feedback on specific parts of your paper. My writing has drastically improved in his class, so you'll do well as long as you are willing to put in some effort in terms of actively trying to find and correct your mistakes .",4.0,3.0
 EXPOSUA1123,"A very tough grader but gives very helpful and detailed feedback, helped me improve my writing a lot. Occasionally makes funny puns. Very approachable and clarifies everything you ask.",5.0,4.0
 EXPOSUS1123,"Pretty hard grader- as all writing the essay teachers are. Difference between him and others is how much he cares and wants his students to learn. He will work side by side with any student to help them achieve the grade the want. He is hands down one of the most caring, smart teachers out there.",5.0,4.0
 HUMEV0001,"Professor could have been more accommodating. Ultimately however, the class was one of the most effective ones I've ever taken. Exams are specific but lectures are also very informative and clearly lots went into them. The many assignments end up helping you get an A a lot easier, If you do them; they were very straight forward. I learned a lot",4.0,4.0
 SDIMG1,"Hands down the nicest and caring professor I've had so far. She finds the positives in your work and encourages risks. She has a great sense of humor and makes class extremely fun. I had no interest in sound but because of her class, sound is what I am focusing on!",5.0,2.0
 FMTVUT1222,"Children's TV was an okay class, I think it really depends on the project you work on. Lynne is very nice and really cares about her students. Sometimes her suggestions aren't top notch, but it's clear she has a lot of experience and that she really wants the project to turn out good.",4.0,2.0
 SSSTUDIO1,"There are no words. Lynne is the best. She is one of the most supportive, compassionate, insightful, knowledgable, and did I say supportive professors I have ever had. She will make you work, but if you take the class seriously, she will respect you and back you to the hilt. She's the best.",5.0,4.0
 SSSTU,Lynne was one of the best professors I have ever had.  She is so compassionate and cares a lot about her students.  She was such a pleasure to have for Sight & Sound: Studio.  Lynne will inspire you every single day.  I highly recommend taking a class with her!,5.0,2.0
 CHILDTV,"Very caring and nice professor who cares for her students. She even starts class later so you don't have to get up very early. Her History of Child's TV course gives a lot of work - final project pitch, take home midterm, research paper, website review. However, if you do the work she is a lenient grader. Has a lot of guest speakers.",5.0,2.0
 CHILDRENSTV,"All-around one of the kindest, most intelligent, most caring individuals I know.",5.0,1.0
 EXPOS106,"WTE is a nightmare, but she's a great professor. She's very helpful- especially if you go to office hours. A tiny bit intimidating but altogether quite approachable and mostly awesome.",4.5,3.0
 FIELD1,Kipper is kind and understanding of student situations. He cares about the work he does and knows what hes talking about. He expects a lot from his students but its nothing excessive,4.0,3.0
 UNDSW32,I'm actually surprised the ratings are so low for this professor. Kipper is extremely caring and has a calming sensation. It is true that he pushes you in terms of work but I find it to be in a reasonable range. He is a strict grader but is very clear about what he expects to see in his papers so you won't be too lost if you follow the guidelines.,4.0,3.0
 NGO1,"If you take her NGO class, take it seriously, and it will be one of the few courses at NYU you will cherish.",5.0,4.0
 WRUF101,AMAZING PROFESSOR!!!!,5.0,3.0
 GWA103,"take her!!! she's the best global works professor you can ever get. VERY HEAVY READING (materials can be boring and difficult to comprehend) but her lectures are amazing. very accessible outside the classroom, graded by participation, 2 essays, and 2 exams, that's it. content can be challenging but definitely do-able.",5.0,4.0
 SFIIIUA103,This review is long overdue; I had professor Samponaro Spring 2018. Her SFIII class is one that still haunts me to this day in the sense that I learned so much outside basic historical facts. This class completely reshaped me and my philosophy due to Dr. Samponaro's skill in teaching. There is a lot of reading but it is worth it to learn truly.,5.0,3.0
 SF13701,She's my favorite SF professor by far! She's incredibly kind and will answer any questions you have. There is a lot of reading in this class but it's managable. She helps prepare you for the exams with a review session a week before but MAKE STUDY GROUPS! you will do SO much better on the exam. 100% would take again!,5.0,3.0
 ACA101005,"The sweetest and most caring professor I have ever had. It is clear that he listens, cares, and respects his students. He is my definition of a great professor.",5.0,2.0
 GTUF201,"Definitely take him! Seems intimidating, but is happy to help students and is great at facilitating discussion. He very much values participation, so don't be afraid to express your opinion. Also, readings are usually interesting",5.0,2.0
 ARTHUA9250,"Karen... You love her or hate her or both. She is insanely knowledgeable, basically a walking encyclopedia. She can sometimes be hilarious, when it has to do with art. But in class, her priority is Gothic art, and if you don't do your reading or follow her mega-detailed rubric, she/you won't be happy. She can come off really cold, but learn a lot.",4.0,4.0
 ARTHUA925O,"Professor Ralph was one of the most knowledgeable professors I've ever had. You could ask her any question and she would give you a thoughtful and incredibly detailed answer. Though she is a tough grader, if you put in the work you will get a good grade. Highly recommend taking her course at NYU Paris!",5.0,4.0
 G2016,"Professor cheikhna is one of the best at Courant. I have never seen a Professor who is teaching a Graduate level Partial Differential Equation (PDE) as clear as this prof. He teaches it as calculus class. He answers, helps you solve and discussed any other related topics like analysis. I was taking Complex variable at the same time and make it eas",5.0,3.0
 MATHUA009,"Professor C. is very busy however he will still make time to meet with you if you ask. His lectures are very easy to follow, if you do your homework and review the material beforehand. He is old fashioned and writes everything on the board. He  dropped our lowest midterm out of three and literally told us what would be on all the tests. Great guy.",5.0,3.0
 FMTV1020,"wonderful teacher! she's strict on punctuality so make sure to turn in work on time and don't be late to class. sometimes she goes a few minutes over the class time, but the class environment was very welcoming and open as we gave notes on each other's scripts and I really improved as a writer in her class. highly recommend!",5.0,3.0
 FYSEMUA612,Pretty difficult to improve your grade from the first mid term due to the lack of office hours and communication.,4.0,3.0
 EXPOS114,"Class was super fun, challenging of course. All in all I'd have to say I learnt a lot from him and I'm really glad that's I took his WTE. He's is also kinda hot if you're into the teacher type.",4.0,3.0
 EXPOS007,"Vallese is an awesome guy, you'll learn a lot without it feeling like your suffering. VERY helpful and funny.",4.5,2.0
 EXPOUA4,"As an international student, I do believe Prof Butler cares about his students. I learned meaningful writing skills from him, true. And his class is pretty fun. Indeed, receiving an A requires quite a lot of effort. However, LISTEN to his feedbacks in the video conference because they are helpful! Overall, he will be a good choice for you.",5.0,4.0
 WRITIWRIT,Joe Vallese is the best. He makes Writing Tutorial a laid back class. Make sure you have your stuff ready because he doesn't extend deadlines much. I enjoyed his class and he's pretty laid back. Just don't come in late too much or be disorganized.,5.0,1.0
 WTE026,"Although Writing the Essay will not go down as my favorite class, Joe definitely made it as enjoyable as possible. We didn't always spend class reading essays and discussing them but the times when we did watch videos or listen to music were still really helpful and not just throw away classes. I would highly recommend Joe to any incoming freshman.",5.0,4.0
 ABCABC,Joe is the man. He's very funny and works with the kids to make things interesting...as long as you participate in class he'll love you. Not an easy class by any means though. He's a pretty hard grader but really helps improve you're writing. Great prof. to have overall though!,4.5,4.0
 THEAUT261,"Prof. Mee is so, so knowledgeable in the course, and she comes to class with such enthusiasm for whatever she's teaching that day. However, she gives far more work than should be given for the level of class. Most of the grade for her class is from participation, so talk in class (it's mostly opinion based conversations) and you'll do fine.",4.0,4.0
 FYSEMUA210,"Legend. Currently, my favorite professor at NYU. He's extremely intelligent, he'll understand any situation his students may encounter and will accommodate deadlines for you. To succeed, you must take notes during lectures on the concepts he talks about. Don't bother reading the classic novels, instead read the Word Docs & PDF files he emails you.",5.0,3.0
 FRSEM210,Prof. Ulfers is honestly really sweet and his class is very easy to get a good grade in if you listen to the lectures and take some notes. A lot of people zone out a couple of times but still take notes. The notes and handouts really help with writing his essays and understanding chiasmic unity. I'm glad I took his class.,5.0,2.0
 FHS06,"I love Prof Ulfers. He is the sweetest man you'll ever meet. He is subtly funny, passionate about the readings in class, and extremely caring and understanding towards his students. W/ Covid he has been optimistic & helpful with paper extensions, generous with office hours & is just a lovely person. Would recommend his first-year seminar for sure!",4.0,4.0
 TEXT19,Had him for Test and Ideas: 19th century and antiquity. AMAZING GUY. so sweeet and intelligent. This was my fave class and professor. His ideas are very fascinating and interesting. The TAs are great and easy graders. TAKE this course! Love Prof Ulfers!,5.0,1.0
 MAPUA2,Good class. Good professor. Good lectures. Highly recommended.,5.0,1.0
 ANTIQUITY,"Whether you're taking this class to fulfill a requirement, or you're taking it as a personal interest, it will be a good experience. I took the class as a requirement, but it ended up being my favorite class of the semester. Would take it again if I had the opportunity.",5.0,2.0
 MAPUA404,"Ulfers is a cute little old man who knows philosophy. He knows his material well and it shows if you talk to him after class--he realizes that he repeats himself,etc. A worthy text&ideas.",4.0,1.0
 ANTIQ19TH,"I had him for Texts&Ideas: Antiquities of the 19th century. Most grading is done by the TAs, but the TAs for this class are VERY generous. General consensus that he's the best class for your T&I requirement if you're in Stern. Easy A - 2 essays and a midterm which is just identifying quotes and a short 2 paragraph answer.",5.0,1.0
 FYSEM306,"Prof Castaneda is a really cool guy. His experiences in foreign affairs between the U.S. and Mexico was really shining through his lectures. He dominates the conversation a bit, and there is a ton of reading, but nothing too crazy for a seminar. You will be rewarded for the work you do and get a lot out of the course. Chock full of great info.",4.0,3.0
 FYSEMUA306,Had him for my First Year Seminar class and he's just top quality. He just speaks throughout the class without a presentation and is responsive to questions and discussion. Very knowledgeable and respected because he used to be the Secretary for Foreign Affairs in Mexico. For this class in specific attendance and participation was mandatory.,5.0,3.0
 LASEM21ST,"THE SMARTEST MAN I'VE EVER MET! If you have the opportunity to take his freshman seminar, DO NOT miss out on it. He gets a little dry sometimes because he purely lectures for 2 and a half hours but he is uber intelligent. He speaks the entire class without any notes or anything in front of him. Engages discussion and uses TA to grade (very easy)",5.0,2.0
 FRSEMIDK,"Jorge Castaneda is a genius. He is an amazing lecturer and incredible orator. He can be intimidating at first, but he really has a true passion for Mexico and teaching people about important issues. I wish I appreciated how incredible he is during the class. All that being said, he expects a lot of you as a student.",5.0,4.0
 HISTLA2,Excellent professor. Great sense of humor and extremely cultured and knowledgeable. If you have the opportunity to take his class do not miss out.,5.0,3.0
 LASEM,"SO intelligent and knows a lot about Latin America, Europe, and history/politics as a whole. I don't think you have to try too hard in the class (i know some people who did nothing and still got b+/a-) but i tried and i got sooooo much out of the course. very good about guest lecturers (i got to see Pres of Argentina, ex-Pres of Chile, and others!)",5.0,3.0
 LASHONO,"This is absolutely the BEST professor. He is soooooo intelligent, and organized. He teaches the class with zero class notes, no pc, no nothing, and I have no idea how he manages to stay on point with organized detail.He's great, interesting, and VERY open to conversation.  I recommend him 100000%",5.0,1.0
 FHSLTAM,"GREAT professor. Gives clear 2 hour lectures with absolutely no notes in front of him. Probably the smartest person I've ever met. Very fair grading. Highly recommend the course. Extremely interesting and informative. Don't miss out, take any class you can with him.",4.0,3.0
 FHSONLATAMER,Absolutely the best professor I've had.  He combines tons of knowledge on all topics relating to LA politics and history with a very first-hand knowledge of modern politics and politicians.  Definitely the smartest and friendliest professor I have! I highly recommend his course.,5.0,3.0
 LAMERICAPOL,"Castaneda is a very high profile Mexican politican and intellectual, and was very knowledgeable. I learned a LOT from him, but it helped it was an honors seminar. He was kind of not involved with grading, but it was cool to listen to him. If he's still there and you can, take a class with him.",5.0,3.0
 EXPOSUA01,"Professor Souffrant is a wonderful teacher who is very accessible within and outside of the classroom. She can definitely be described as a tough grader, but if you use the concepts she outlines in class you should do well. She is always willing to go over past work. She expects all assignments to be completed, so be prepared for a lot of reading!",5.0,4.0
 EXPOSUA1023,She is very nice and helpful during class. Make sure to do your homework and the assignments are a lot easier. She spreads work out over a long period of time.,4.0,3.0
 EXPOSUA1101,"Good teacher.  Very helpful if you meet with her.  WTE is obviously never going to be a super fun class, but I liked having her as a teacher.",4.5,2.0
 EDITING1,"He is an experienced editor who cares about his students. His lecture is in really good pace. You will learn lots of useful things, and at the same time won't feel stressed. I find it a high level of teaching.",5.0,3.0
 FMTVUT1105,Frank is an experienced editor and a great choice for an open-workshop editing class. Frank encouraged students to speak their minds as we critiqued each other's projects. He also wanted feedback on the two films we watched every two weeks which we also had to write short papers on. Be prepared to write and edit a lot as well as speak during class.,4.0,2.0
 APRUF201005,Roberta is an amazing lady! She's such an intelligent human being and extremely passionate when she's teaching her students. You'll definitely leave her class feeling like you've learned so much. You must go to her class. She loves students who participate and question the material they're reading. Do the readings and put effort into your papers!,5.0,3.0
 SEMADV1,"She is the best. Participate, do the reading, engage in her class and you'll be good.",5.0,3.0
 SOCFFA06,So I had her for GSP Social Foundations and while I liked her I hated the class and felt her grading was difficult. I also had her for a topics course and as a topics teacher she is amazing though. Participation= way better grade! Very smart woman and really interesting. Projects were fun and best of all there were no tests.,4.5,4.0
 APSYUE1038,"Prof. Tsai has interesting lectures that are engaging and easy to follow. Most of what is tested comes from the slides. He has a very clear grading policy. I would advise keeping up with the material by preparing for quizzes. The exams are very easy as long as you attend class, pay attention, and review the slides. Made me love abnormal psych more.",5.0,2.0
 APSYGE2682,"She's so kind and so genuine, I would take a class with her again in a heartbeat. Truly great professor.",5.0,3.0
 APSY1682,"This is an easy A class. Her lectures can be boring, but sometimes she makes it fun. I liked our group activities and discussions in class. If you come to class, participate, pay attention and do the assignments, you will be fine. No midterm or final exam.",5.0,2.0
 LATCUA600002,"Working with Bárbara was such a privilege. Her course was fun and illuminating, and her feedback on written work was particularly helpful.",5.0,3.0
 FINCUB0002,"He is truly great. Not only is he professional in the field, but he can also lay the knowledge out in just the right way so even the DUMBEST student can learn A LOT. He really knows how to teach! (He counters the ""curse of knowledge"") He knows how to arrange topics and when to re-emphasize. Every second of his class feels carefully designed!",5.0,3.0
 FOF101,"You need to work hard in his class, but you can actually learn a lot. It is better for you to listen to the recording one more time to review after class.",5.0,4.0
 ECONSHU3,"Took macro & micro with Set. By far the hardest I've worked but as an Econ major it pays off. He has a philosophy of working students hard so they succeed later. Currently, I'm at an intermediate level and it pays off just sucks cause it's hard when you take him but you learn it. I get all the 1.0s but trust but me, he'll help you later on.",4.0,5.0
 BUSFSHU202,"BEST Finance prof in NYUSH +Transcends barrier of knowledge"": make difficult course greatly more approachable for even the worst students with clear logic and impressive intuitions(The difficulty is 3-4, but would be 5 if he were not there) +Accessible after class +High quality exercises +Know well about students' worries and moods +Great charisma",5.0,4.0
 UE110,"I had her for my required Advanced College Essay class, and after having to take the Writing the Essay class with a really strict professor I was scared, but she made the class really fun and interesting. She just wants you to be engaged in class and try to make improvements in your writing. Great person and class overall.",5.0,3.0
 EXPOS101,"Prof. Machlan was amazing. I never really liked English or Writing classes but have always been a great writer. She made me enjoy my writing mainly because we were given a lot of freedom to choose our subjects. She gets a bad rep for being tough, but her criticism is super helpful & she's so knowledgeable!",5.0,4.0
 UE110002,"Wonderful professor! Even though at first, I didn't get the grade I wanted, she gave incredibly helpful feedback and gives everyone the chance to re-write their essay afterwards. Class participation is not only mandatory but is really helpful and the class is useless if you don't attend. She cares about her students and also their academics.",4.0,3.0
 CSCIGA211000,A good professor that explain things and concepts clearly. I've learnt a lot through this course and the grading is very generous.,5.0,2.0
